,Date,sentiment_value,yesterday_sentiment,Open,High,Low,Close,Volume,avgprice,yvalue
137,7/23/2015,4.668185426,3.718148148,31.549999,31.772499,31.264999,31.290001,203998000,31.518749,0.5824995
138,7/24/2015,6.932474747,4.668185426,31.33,31.434999,30.975,31.125,168649200,31.2049995,-0.3137495
139,7/27/2015,5.781204906,6.932474747,30.772499,30.9025,30.530001,30.692499,177822000,30.7162505,-0.488749
140,7/28/2015,2.120505051,5.781204906,30.844999,30.977501,30.637501,30.844999,134472400,30.807501,0.0912505
141,7/29/2015,5.079116162,2.120505051,30.7875,30.875,30.567499,30.747499,148046800,30.7212495,-0.0862515
142,7/30/2015,5.127656926,5.079116162,30.58,30.6425,30.4275,30.592501,134513200,30.535,-0.1862495
143,7/31/2015,2.029236111,5.127656926,30.65,30.66,30.227501,30.325001,171540000,30.4437505,-0.0912495
144,8/3/2015,1.18208153,2.029236111,30.375,30.6425,29.379999,29.610001,279904000,30.0112495,-0.432501
145,8/4/2015,3.526208514,1.18208153,29.355,29.424999,28.3125,28.66,496554400,28.8687495,-1.1425
146,8/5/2015,2.804834055,3.526208514,28.237499,29.360001,28.025,28.85,397250400,28.6925005,-0.176249
147,8/6/2015,3.441300746,2.804834055,28.9925,29.125,28.530001,28.782499,211612000,28.8275005,0.135
148,8/7/2015,3.563549784,3.441300746,28.645,29.0625,28.625,28.879999,154681600,28.84375,0.0162495
149,8/10/2015,5.443658009,3.563549784,29.1325,29.997499,29.1325,29.93,219806400,29.5649995,0.7212495
150,8/11/2015,1.676624579,5.443658009,29.452499,29.545,28.3325,28.372499,388331200,28.93875,-0.6262495
151,8/12/2015,3.874446248,1.676624579,28.1325,28.855,27.407499,28.809999,404870000,28.1312495,-0.8075005
152,8/13/2015,4.508181818,3.874446248,29.01,29.1,28.635,28.7875,194143200,28.8675,0.7362505
153,8/14/2015,4.987849928,4.508181818,28.58,29.077499,28.502501,28.99,171718000,28.79,-0.0775
154,8/17/2015,7.493981481,4.987849928,29.01,29.4125,28.875,29.290001,163538800,29.14375,0.35375
155,8/18/2015,3.9125,7.493981481,29.1075,29.360001,29.002501,29.125,138242800,29.181251,0.037501
156,8/19/2015,2.225416667,3.9125,29.025,29.129999,28.67,28.752501,193146000,28.8999995,-0.2812515
157,8/20/2015,-0.752162698,2.225416667,28.52,28.5875,27.907499,28.1625,274006400,28.2474995,-0.6525
158,8/21/2015,1.786851852,-0.752162698,27.6075,27.975,26.4125,26.440001,513102000,27.19375,-1.0537495
159,8/24/2015,4.953871776,1.786851852,23.717501,27.200001,23,25.780001,648825200,25.1000005,-2.0937495
160,8/25/2015,5.687554113,4.953871776,27.7775,27.7775,25.875,25.934999,414406400,26.82625,1.7262495
161,8/26/2015,5.860565476,5.687554113,26.772499,27.4725,26.262501,27.422501,387098400,26.8675005,0.0412505
162,8/27/2015,4.88781265,5.860565476,28.057501,28.309999,27.504999,28.23,338464400,27.907499,1.0399985
163,8/28/2015,0.900551347,4.88781265,28.0425,28.327499,27.885,28.3225,212657600,28.1062495,0.1987505
164,8/31/2015,4.504527417,0.900551347,28.0075,28.6325,28,28.190001,224917200,28.31625,0.2100005
